businessid,target_schemes_count,milestones_achieved_count,total_jc_earned
BZID-1304476146,2,1,200.000000
BZID-1304477629,3,0,0.000000
BZID-1304435934,7,7,1570.000000
BZID-1304476512,3,1,125.000000
BZID-1304467408,3,2,470.000000
BZID-1304467682,2,2,2310.000000
BZID-1304425367,5,5,600.000000
BZID-1304423380,1,0,0.000000
BZID-1304422962,7,3,40.000000
BZID-1304456855,3,1,270.000000
BZID-1304460551,3,0,0.000000
BZID-1304470351,2,1,350.000000
BZID-1304404146,4,4,810.000000
BZID-1304447386,2,0,0.000000
BZID-1304443218,4,2,20.000000
BZID-1304469036,2,1,40.000000
BZID-1304430765,1,0,0.000000
BZID-1304393531,2,1,40.000000
BZID-1304465618,2,0,0.000000
BZID-1304461561,3,2,80.000000
BZID-1304413117,2,0,0.000000
BZID-1304427727,2,1,350.000000
BZID-1304414817,2,1,2000.000000
BZID-1304392575,6,5,305.000000
BZID-1304438535,2,0,0.000000
BZID-1304466750,2,0,0.000000
BZID-1304418127,2,2,205.000000
BZID-1304461677,3,0,0.000000
BZID-1304404812,2,2,350.000000
BZID-1304396655,2,2,260.000000
BZID-1304445280,4,4,355.000000
BZID-1304388714,2,2,1200.000000
BZID-1304416291,2,1,80.000000
BZID-1304472094,2,1,80.000000
BZID-1304478589,4,1,80.000000
BZID-1304377797,2,1,80.000000
BZID-1304433480,5,1,5.000000
BZID-1304428909,2,1,375.000000
BZID-1304476164,2,0,0.000000
BZID-1304412810,2,2,205.000000
BZID-1304460117,1,0,0.000000
BZID-1304460044,4,2,140.000000
BZID-1304357439,1,0,0.000000
BZID-1304418123,2,2,205.000000
BZID-1304393224,3,3,210.000000
BZID-1304381560,2,0,0.000000
BZID-1304370019,2,1,100.000000
BZID-1304399476,2,2,205.000000
BZID-1304435584,2,1,80.000000
BZID-1304449981,2,0,0.000000
BZID-1304460165,5,2,25.000000
BZID-1304478597,3,1,80.000000
BZID-1304428234,2,2,230.000000
BZID-1304395698,2,1,200.000000
BZID-1304471746,3,1,80.000000
BZID-1304470921,3,2,215.000000
BZID-1304401568,2,0,0.000000
BZID-1304430935,1,0,0.000000
BZID-1304457833,5,3,165.000000
BZID-1304405681,2,2,575.000000
BZID-1304475209,1,0,0.000000
BZID-1304417089,1,0,0.000000
BZID-1304424228,2,1,135.000000
BZID-1304421864,5,2,215.000000
BZID-1304457741,2,2,160.000000
BZID-1304394421,2,0,0.000000
BZID-1304415598,2,1,135.000000
BZID-1304406122,2,2,350.000000
BZID-1304377173,2,1,50.000000
BZID-1304473850,3,1,5.000000
BZID-1304474153,2,0,0.000000
BZID-1304428759,1,0,0.000000
BZID-1304398331,2,2,950.000000
BZID-1304466553,4,1,20.000000
BZID-1304429325,2,0,0.000000
BZID-1304445631,3,0,0.000000
BZID-1304478937,4,3,135.000000
BZID-1304471397,8,5,2845.000000
BZID-1304463421,5,0,0.000000
BZID-1304423126,2,2,1310.000000
BZID-1304430292,3,1,45.000000
BZID-1304474251,3,0,0.000000
BZID-1304423729,2,2,1610.000000
BZID-1304424852,2,0,0.000000
BZID-1304424550,2,1,270.000000
BZID-1304476060,6,2,470.000000
BZID-1304472033,4,0,0.000000
BZID-1304428384,2,1,900.000000
BZID-1304385118,3,3,290.000000
BZID-1304361228,2,0,0.000000
BZID-1304359098,3,1,20.000000
BZID-1304385723,3,3,510.000000
BZID-1304396479,2,0,0.000000
BZID-1304382153,3,0,0.000000
BZID-1304368003,3,2,95.000000
BZID-1304403442,5,2,100.000000
BZID-1304380496,3,1,20.000000
BZID-1304394443,1,1,100.000000
BZID-1304394939,3,1,20.000000
BZID-1304382045,3,1,45.000000
BZID-1304357612,3,0,0.000000
BZID-1304371299,3,1,20.000000
BZID-1304386590,3,0,0.000000
BZID-1304365931,2,0,0.000000
BZID-1304361125,3,0,0.000000
BZID-1304388638,3,0,0.000000
BZID-1304357283,1,0,0.000000
BZID-1304387254,2,0,0.000000
BZID-1304397934,3,0,0.000000
BZID-1304359144,2,0,0.000000
BZID-1304435203,2,1,200.000000
BZID-1304479332,3,0,0.000000
BZID-1304436107,2,1,100.000000
BZID-1304457464,3,2,560.000000
BZID-1304475751,2,1,350.000000
BZID-1304423938,3,2,2555.000000
BZID-1304465019,1,0,0.000000
BZID-1304438548,3,1,125.000000
BZID-1304416551,2,2,895.000000
BZID-1304467526,2,0,0.000000
BZID-1304429299,2,2,620.000000
BZID-1304476954,2,2,620.000000
BZID-1304458852,2,2,405.000000
BZID-1304472932,5,4,610.000000
BZID-1304476471,3,3,595.000000
BZID-1304425162,2,1,135.000000
BZID-1304470208,1,1,135.000000
BZID-1304458410,2,0,0.000000
BZID-1304401776,7,5,800.000000
BZID-1304438789,2,2,470.000000
BZID-1304473824,3,2,940.000000
BZID-1304412920,3,3,2435.000000
BZID-1304423179,2,0,0.000000
BZID-1304394990,2,1,270.000000
BZID-1304457662,2,0,0.000000
BZID-1304419386,2,0,0.000000
BZID-1304459283,6,5,480.000000
BZID-1304424309,2,0,0.000000
BZID-1304477655,4,1,125.000000
BZID-1304383840,6,6,865.000000
BZID-1304417227,2,2,620.000000
BZID-1304471391,6,3,2560.000000
BZID-1304410424,1,0,0.000000
BZID-1304376975,2,2,95.000000
BZID-1304400038,2,2,70.000000
BZID-1304427756,1,0,0.000000
BZID-1304426427,1,0,0.000000
BZID-1304361014,1,1,50.000000
BZID-1304477216,2,0,0.000000
BZID-1304409443,2,0,0.000000
BZID-1304416416,2,0,0.000000
BZID-1304415983,1,0,0.000000
BZID-1304426426,1,0,0.000000
BZID-1304466582,2,2,1420.000000
BZID-1304416301,2,2,185.000000
BZID-1304424459,1,1,50.000000
BZID-1304475494,6,6,415.000000
BZID-1304465083,3,2,1635.000000
BZID-1304419709,1,1,20.000000
BZID-1304367523,1,0,0.000000
BZID-1304471971,4,3,360.000000
BZID-1304439387,2,0,0.000000
BZID-1304392071,2,0,0.000000
BZID-1304423699,2,2,70.000000
BZID-1304400658,1,0,0.000000
BZID-1304445157,4,2,80.000000
BZID-1304368535,1,0,0.000000
BZID-1304424822,1,0,0.000000
BZID-1304405604,2,2,120.000000
BZID-1304394751,1,0,0.000000
BZID-1304405947,1,1,50.000000
BZID-1304407765,2,2,70.000000
BZID-1304419271,2,1,50.000000
BZID-1304422620,2,2,90.000000
BZID-1304370101,2,2,65.000000
BZID-1304358286,2,2,860.000000
BZID-1304364408,2,0,0.000000
BZID-1304390360,2,2,150.000000
BZID-1304427189,1,0,0.000000
BZID-1304359816,2,2,150.000000
BZID-1304423084,3,1,40.000000
BZID-1304458375,7,5,1805.000000
BZID-1304420481,1,0,0.000000
BZID-1304422049,1,0,0.000000
BZID-1304389836,4,2,80.000000
