businessid,cta_dt_cnt,ppv_plv_dt_cnt,atc_dt_cnt
BZID-1304375288,40,39,17
BZID-1304376196,17,10,1
BZID-1304425412,44,37,20
BZID-1304357003,37,34,5
BZID-1304423117,45,44,15
BZID-1304389385,41,32,26
BZID-1304431188,62,60,38
BZID-1304376832,53,46,28
BZID-1304425540,61,57,48
BZID-1304375529,32,27,15
BZID-1304419996,58,58,44
BZID-1304418168,48,41,25
BZID-1304395487,15,9,5
BZID-1304473327,62,58,44
BZID-1304608171,26,24,14
BZID-1304387038,14,10,1
BZID-1304418131,31,27,18
BZID-1304463476,20,16,9
BZID-1304377809,52,44,14
BZID-1304374509,50,50,35
BZID-1304370591,41,38,19
BZID-1304605153,16,14,6
BZID-1304470132,63,62,53
BZID-1304471414,61,59,52
BZID-1304392818,37,23,11
BZID-1304449772,62,60,58
BZID-1304384397,63,62,38
BZID-1304367934,59,59,38
BZID-1304603664,63,56,24
BZID-1304464628,26,13,4
BZID-1304447282,47,42,27
BZID-1304369587,46,34,14
BZID-1304477631,55,30,20
BZID-1304445714,58,53,43
BZID-1304419995,42,41,30
BZID-1304401964,61,58,42
BZID-1304429077,40,28,16
BZID-1304349623,22,21,8
BZID-1304462419,63,59,49
BZID-1304607347,55,52,33
BZID-1304463988,7,6,1
BZID-1304381028,42,36,28
BZID-1304608383,30,28,12
BZID-1304353834,41,39,7
BZID-1304449704,39,26,19
BZID-1304455888,47,27,20
BZID-1304472210,2,2,0
BZID-1304360605,26,13,9
BZID-1304392636,34,29,17
BZID-1304436899,62,50,39
BZID-1304589263,58,58,41
BZID-1304415938,26,11,8
BZID-1304604071,37,32,25
BZID-1304436844,60,53,36
BZID-1304438231,56,51,42
BZID-1304400197,41,32,21
BZID-1304406090,18,17,12
BZID-1304351439,46,43,23
BZID-1304456129,24,19,10
BZID-1304465254,55,54,8
BZID-1304443354,16,14,11
BZID-1304365978,24,16,8
BZID-1304424206,45,41,24
BZID-1304609578,51,44,31
BZID-1304431323,59,43,26
BZID-1304605533,11,10,4
BZID-1304371928,24,23,7
BZID-1304562756,46,42,29
BZID-1304374712,38,27,23
BZID-1304464642,12,9,1
BZID-1304402543,55,53,36
BZID-1304377064,1,1,1
BZID-1304416579,57,50,36
BZID-1304352171,37,36,1
BZID-1304374515,19,17,4
BZID-1304358375,59,58,20
BZID-1304461935,13,13,1
BZID-1304394730,60,59,36
BZID-1304397046,50,45,24
BZID-1304383601,37,35,15
BZID-1304451332,28,20,18
BZID-1304389254,40,38,6
BZID-1304391568,63,61,33
BZID-1304451133,28,24,13
BZID-1304382443,44,38,27
BZID-1304369761,49,43,24
BZID-1304376922,38,34,18
BZID-1304391032,24,23,6
BZID-1304405040,31,30,6
BZID-1304359615,40,40,20
BZID-1304383272,7,6,2
BZID-1304609253,19,15,8
BZID-1304396573,63,62,58
BZID-1304404950,53,50,30
BZID-1304405965,42,42,9
BZID-1304425793,60,56,45
BZID-1304352447,50,40,23
BZID-1304357125,50,45,23
BZID-1304349406,46,46,10
BZID-1304370677,26,20,11
BZID-1304350178,43,35,20
BZID-1304441740,25,8,6
BZID-1304474002,17,8,3
BZID-1304410405,3,3,3
BZID-1304398592,32,31,17
BZID-1304427378,59,51,34
BZID-1304432167,12,9,5
BZID-1304401239,25,12,10
